step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
16,C,participants_only,,,30,20,0,10,20,0,0.2675902341576475,0.21353039210501068,0.6764670914463812,0.019893746050636096,65,25,0.8333333333333334,0,0.0,0.0,25.233333333333334,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,nonparticipants_only,,,10,0,10,0,0,0,0.19655858888413277,0.1485502030804579,0.5747230596271862,0.014493265941275759,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.30000000000007,,,19.5,0.2490421455938695,47.0,0.6002554278416342,0.0,0.0,0.01428192437038755,0.1276595744680851,0.0,0,6,55,8,,39,47,37,6.800000000000003,0.08684546615581096,5.000000000000002,0.06385696040868451,34,25,44
17,C,all_agents,,,40,20,10,10,20,0,0.2538881020517282,0.19804240217477448,0.689408407788526,0.020312295478031844,70,26,0.65,0,0.0,0.0,31.15,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,participants_only,,,30,20,0,10,20,0,0.27280474028733537,0.21419070836243076,0.689408407788526,0.020939258102686542,70,26,0.8666666666666667,0,0.0,0.0,24.866666666666667,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,nonparticipants_only,,,10,0,10,0,0,0,0.19713818734490668,0.14780745206505563,0.5718494443290503,0.01413733717842573,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.20000000000009,,,20.0,0.22675736961451223,57.0,0.6462585034013599,0.0,0.0,0.01285314348057949,0.08771929824561403,0.0,0,5,28,11,,40,57,37,6.200000000000003,0.07029478458049883,5.000000000000002,0.05668934240362808,31,25,37
18,C,all_agents,,,40,24,10,6,24,0,0.25769258664234096,0.1972825129525751,0.7018320714769849,0.021169001202278666,75,26,0.65,0,0.0,0.0,31.325,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C,participants_only,,,30,24,0,6,24,0,0.2776858984254595,0.21827036219392165,0.7018320714769849,0.022029176890385818,75,26,0.8666666666666667,0,0.0,0.0,25.1,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C,nonparticipants_only,,,10,0,10,0,0,0,0.1977126512929854,0.14706841480473032,0.5689901971074051,0.01379168394527338,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.00000000000009,,,19.0,0.24358974358974333,47.0,0.6025641025641019,0.0,0.0,0.013965937684677455,0.10638297872340426,0.0,0,5,55,8,,38,47,35,6.800000000000003,0.08717948717948713,5.200000000000002,0.06666666666666662,34,26,42
19,C,all_agents,,,40,25,10,5,25,0,0.2623039683822228,0.20085426540522533,0.7137587886179055,0.022214580019066305,85,27,0.675,0,0.0,0.0,31.05,566,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,participants_only,,,30,25,0,5,25,0,0.28364446235944213,0.22115790137884966,0.7137587886179055,0.023312962841063736,85,27,0.9,0,0.0,0.0,24.733333333333334,566,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,nonparticipants_only,,,10,0,10,0,0,0,0.19828248645056487,0.14633307273070667,0.566145246121868,0.0134544313547732,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.70000000000009,,,19.5,0.22234891676168736,57.0,0.6499429874572399,0.0,0.0,0.014475920853937646,0.17543859649122806,0.0,0,10,26,11,,39,57,34,6.000000000000003,0.06841505131128844,5.200000000000002,0.05929304446978331,30,26,37
20,C,all_agents,,,40,26,10,4,26,0,0.26604766771381994,0.20403138492095027,0.7252084370731893,0.02310252256463858,90,27,0.675,0,0.0,0.0,31.225,599,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,participants_only,,,30,26,0,4,26,0,0.28844775030775494,0.22005211187195545,0.7252084370731893,0.024420728868017758,90,27,0.9,0,0.0,0.0,24.966666666666665,599,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,nonparticipants_only,,,10,0,10,0,0,0,0.19884741993201477,0.1463578792762839,0.5633145198912587,0.013126739251919706,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.0000000000001,,,19.0,0.24358974358974328,47.0,0.6025641025641018,0.0,0.0,0.013830652749508477,0.10638297872340426,0.0,0,5,54,8,,38,47,35,6.600000000000003,0.08461538461538455,5.400000000000002,0.06923076923076917,33,27,42
20,C,reachability,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,all_agents,,,40,27,10,3,27,0,0.2703097254200054,0.20542255965363349,0.7362000995902617,0.024160348197679482,96,27,0.675,0,0.0,0.0,31.0,637,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,participants_only,,,30,27,0,3,27,0,0.2939435022441942,0.23363988366355148,0.7362000995902617,0.02571125582030396,96,27,0.9,0,0.0,0.0,24.666666666666668,637,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,nonparticipants_only,,,10,0,10,0,0,0,0.19940839494743903,0.1461464438451227,0.5604979472918024,0.012804960446099285,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.0000000000001,,,19.0,0.2209302325581393,56.0,0.6511627906976737,0.0,0.0,0.013833586858395247,0.10714285714285714,0.0,0,6,26,12,,38,56,33,5.8000000000000025,0.06744186046511623,5.200000000000002,0.06046511627906972,29,26,37
22,C,all_agents,,,40,27,10,3,27,0,0.2741958399504305,0.2055630603922433,0.7467520956066512,0.025233831377544105,99,27,0.675,0,0.0,0.0,31.225,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,participants_only,,,30,27,0,3,27,0,0.29893966791646914,0.23440170525489396,0.7467520956066512,0.02703172441281327,99,27,0.9,0,0.0,0.0,24.966666666666665,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,nonparticipants_only,,,10,0,10,0,0,0,0.19996435605231458,0.14643366604267405,0.5576954575553433,0.012493068002781627,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,step_totals,,,,,,,,,,,,,,,,,,,,,77.0000000000001,,,18.0,0.23376623376623346,47.0,0.6103896103896096,0.0,0.0,0.01447886665976868,0.06382978723404255,0.0,0,3,54,8,,36,47,34,6.600000000000003,0.08571428571428565,5.400000000000002,0.07012987012987007,33,27,41
23,C,all_agents,,,40,29,10,1,29,0,0.27797523328400225,0.2047786029227841,0.7568820117823852,0.026382019976664606,104,27,0.675,0,0.0,0.0,31.0,712,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,C,participants_only,,,30,29,0,1,29,0,0.3037949814427952,0.23322969672861948,0.7568820117823852,0.028446556116436362,104,27,0.9,0,0.0,0.0,24.666666666666668,712,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,C,nonparticipants_only,,,10,0,10,0,0,0,0.2005159888076234,0.14684772767296894,0.5549069802675666,0.01218849881754743,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.5000000000001,,,18.5,0.2163742690058477,56.0,0.6549707602339173,0.0,0.0,0.012583665864673617,0.08928571428571429,0.0,0,5,26,12,,37,56,32,5.8000000000000025,0.06783625730994147,5.200000000000002,0.06081871345029235,29,26,36
24,C,all_agents,,,40,30,10,0,30,0,0.28129105950248967,0.20613374287902958,0.7666067313110898,0.027444284222297374,109,27,0.675,0,0.0,0.0,31.225,747,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C,participants_only,,,30,30,0,0,30,0,0.30803364909256586,0.2343355276567577,0.7666067313110898,0.02976794647468265,109,27,0.9,0,0.0,0.0,24.966666666666665,747,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C,nonparticipants_only,,,10,0,10,0,0,0,0.2010632907322612,0.14932064463755135,0.5521324453662287,0.011891304289342548,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C,step_totals,,,,,,,,,,,,,,,,,,,,,76.3000000000001,,,17.5,0.22935779816513732,47.0,0.6159895150720831,0.0,0.0,0.012864909149125385,0.10638297872340426,0.0,0,5,53,9,,35,47,34,6.400000000000003,0.08387942332896454,5.400000000000002,0.07077326343381383,32,27,41
25,C,all_agents,,,40,30,10,0,30,0,0.28517448779177806,0.2081122141250078,0.7759424620586463,0.02863790481941835,114,27,0.675,0,0.0,0.0,31.0,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C,participants_only,,,30,30,0,0,30,0,0.31303053259664637,0.2331638500184739,0.7759424620586463,0.031212987692283853,114,27,0.9,0,0.0,0.0,24.666666666666668,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C,nonparticipants_only,,,10,0,10,0,0,0,0.20160635337717295,0.15203029297389808,0.5493717831393976,0.011601145414771852,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.00000000000009,,,18.0,0.21176470588235272,56.0,0.658823529411764,0.0,0.0,0.012991990610613915,0.08928571428571429,0.0,0,5,26,12,,36,56,32,5.8000000000000025,0.06823529411764702,5.200000000000002,0.061176470588235256,29,26,36
26,C,all_agents,,,40,30,10,0,30,0,0.2883487715141378,0.20953533957068898,0.7849047635763005,0.029759734852353666,120,27,0.675,0,0.0,0.0,31.225,823,,,,,,,,,,,,,,,,,,,,,,,,,,,
