step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
13,C,participants_only,,,30,16,0,14,16,0,0.24790212818016108,0.21144493402294845,0.6186634677672107,0.017343661195487227,69,27,0.9,0,0.0,0.0,25.533333333333335,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,nonparticipants_only,,,10,0,10,0,0,0,0.1784284455698746,0.13135776889329887,0.433246732269254,0.008957129020479803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,19.0,0.21300448430493252,,,0.0,0.0,59.0,0.6614349775784747,0.015971108113113624,0.0847457627118644,0.0,0,5,13,25,38,,37,59,6.000000000000003,0.06726457399103135,5.200000000000002,0.058295964125560505,30,26,31
14,C,all_agents,,,40,18,10,12,18,0,0.23513440265383498,0.1960037777885607,0.6339169290565223,0.016975832819069163,74,27,0.675,0,0.0,0.0,31.6,437,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,participants_only,,,30,18,0,12,18,0,0.2538125887312227,0.2171218275116982,0.6339169290565223,0.018336309454193955,74,27,0.9,0,0.0,0.0,25.466666666666665,437,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,nonparticipants_only,,,10,0,10,0,0,0,0.17909984442167173,0.13311641559820608,0.4310804986079077,0.008707907291996522,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.10000000000008,20.0,0.24067388688327293,0.1,0.0012033694344163648,0.0,0.0,51.0,0.613718411552346,0.015174407562863096,0.09803921568627451,0.0,0,5,7,51,40,1,39,51,6.600000000000003,0.07942238267148011,5.400000000000002,0.06498194945848372,33,27,40
15,C,all_agents,,,40,18,10,12,18,0,0.23980991211770872,0.19866698639147717,0.6485602518942614,0.018096472964195667,83,28,0.7,0,0.0,0.0,31.3,473,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C,participants_only,,,30,18,0,12,18,0,0.25982465846040925,0.21823383225930537,0.6485602518942614,0.019703803702892767,83,28,0.9333333333333333,0,0.0,0.0,25.066666666666666,473,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C,nonparticipants_only,,,10,0,10,0,0,0,0.17976567308960717,0.13300651014705353,0.4289250961148682,0.008467399894152633,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
