step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
19,A,all_agents,,,40,27,10,3,27,0,0.25265011935408965,0.20510817495750427,0.6714831981519123,0.02067508348351258,166,30,0.75,70,4.3428571428571425,1.6857142857142857,31.175,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,27,0,3,27,0,0.2808915864764228,0.23043673298883954,0.6714831981519123,0.02172590396188272,166,30,1.0,70,4.3428571428571425,1.6857142857142857,24.9,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.16792571798709016,0.1290090830495112,0.49455818976287774,0.007951656465740267,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.20000000000009,,,19.0,0.2283653846153844,53.0,0.6370192307692301,0.0,0.0,0.014681273328891919,0.018867924528301886,0.0,0,1,14,25,,38,53,34,6.000000000000003,0.07211538461538457,5.200000000000002,0.06249999999999996,30,26,43
20,A,all_agents,,,40,27,10,3,27,0,0.2569844813284427,0.2068180330555135,0.6846238702258358,0.021813443414925384,170,30,0.75,70,4.3428571428571425,1.6857142857142857,31.075,668,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,27,0,3,27,0,0.28642660215451876,0.2309325898709374,0.6846238702258358,0.023045898220017128,170,30,1.0,70,4.3428571428571425,1.6857142857142857,24.766666666666666,668,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.16865811885021445,0.13100039050842166,0.4920853988140633,0.007714017254803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.20000000000009,,,18.0,0.2163461538461536,54.0,0.6490384615384609,0.0,0.0,0.014455531013641106,0.07407407407407407,0.0,0,4,14,37,,36,54,33,6.000000000000003,0.07211538461538457,5.200000000000002,0.06249999999999996,30,26,32
20,A,reachability,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,27,10,3,27,0,0.2613329366223389,0.20953355462319673,0.6972389154168024,0.022919956960449763,173,30,0.75,70,4.3428571428571425,1.6857142857142857,31.125,707,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,27,0,3,27,0,0.29198214245127085,0.23214371838776016,0.6972389154168024,0.0243083382876644,173,30,1.0,70,4.3428571428571425,1.6857142857142857,24.833333333333332,707,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.16938531913554325,0.13296118621190567,0.489624971819993,0.007482327163475054,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,82.40000000000009,,,19.0,0.23058252427184442,52.0,0.6310679611650478,0.0,0.0,0.014707466744992244,0.057692307692307696,0.0,0,3,13,27,,38,52,34,6.000000000000003,0.07281553398058248,5.400000000000002,0.06553398058252423,30,27,45
22,A,all_agents,,,40,28,10,2,28,0,0.2657283017192928,0.21491630501244896,0.7093493588001303,0.024099338612388308,178,30,0.75,70,4.3428571428571425,1.6857142857142857,31.1,748,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,28,0,2,28,0,0.29760218153555573,0.23346289330095424,0.7093493588001303,0.025648932806858538,178,30,1.0,70,4.3428571428571425,1.6857142857142857,24.8,748,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.17010666227050406,0.1364449952716314,0.48717684696089303,0.007259225454478744,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.20000000000009,,,18.0,0.2163461538461536,54.0,0.6490384615384609,0.0,0.0,0.01467796089662025,0.09259259259259259,0.0,0,5,14,36,,36,54,33,6.000000000000003,0.07211538461538457,5.200000000000002,0.06249999999999996,30,26,33
23,A,all_agents,,,40,28,10,2,27,1,0.26995239633004553,0.22137400887570893,0.720975384448125,0.025183009242424125,183,30,0.75,70,4.3428571428571425,1.6857142857142857,31.05,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,participants_only,,,30,28,0,2,27,1,0.30299572916379025,0.23355406830994546,0.720975384448125,0.02686198759983878,183,30,1.0,70,4.3428571428571425,1.6857142857142857,24.733333333333334,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,nonparticipants_only,,,10,0,10,0,0,0,0.17082239782881145,0.1370043557504595,0.4847409627260886,0.007043732033040592,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.6000000000001,,,19.0,0.22727272727272702,53.0,0.633971291866028,0.0,0.0,0.01414096798516635,0.09433962264150944,0.0,0,5,12,25,,38,53,34,6.000000000000003,0.07177033492822962,5.600000000000002,0.0669856459330143,30,28,44
24,A,all_agents,,,40,28,10,2,27,1,0.27373151348733504,0.22196562986605173,0.7321363690702001,0.026343081613033576,194,30,0.75,70,4.3428571428571425,1.6857142857142857,31.05,824,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,participants_only,,,30,28,0,2,27,1,0.3077978564357999,0.2365642517001523,0.7321363690702001,0.028203366485119126,194,30,1.0,70,4.3428571428571425,1.6857142857142857,24.733333333333334,824,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,nonparticipants_only,,,10,0,10,0,0,0,0.17153248464194057,0.13846184375821718,0.4823172579124581,0.00683603833418789,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,step_totals,,,,,,,,,,,,,,,,,,,,,82.40000000000008,,,17.0,0.20631067961165028,54.0,0.6553398058252421,0.0,0.0,0.013084954374399839,0.2037037037037037,0.0,0,11,13,36,,34,54,33,6.000000000000003,0.07281553398058249,5.400000000000002,0.06553398058252424,30,27,34
25,A,all_agents,,,40,29,10,1,28,1,0.2782821676243293,0.22451486276343896,0.742850914307392,0.027564001442022517,200,30,0.75,70,4.3428571428571425,1.6857142857142857,31.05,870,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,participants_only,,,30,29,0,1,28,1,0.3136303999582654,0.2429099925707905,0.742850914307392,0.029542646620318417,200,30,1.0,70,4.3428571428571425,1.6857142857142857,24.733333333333334,870,,,,,,,,,,,,,,,,,,,,,,,,,,,
