step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.80000000000008,19.5,0.21714922048997753,0.1,0.001113585746102449,0.0,0.0,59.0,0.6570155902004449,0.014682033459330966,0.0847457627118644,0.0,0,5,13,29,39,1,37,59,5.200000000000002,0.057906458797327365,6.000000000000003,0.06681514476614696,26,30,32
14,B,all_agents,,,40,19,10,11,19,0,0.23312488161403871,0.18935103923530155,0.6265136112784927,0.017103666479379744,119,30,0.75,55,3.3454545454545452,1.490909090909091,31.725,419,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,19,0,11,19,0,0.2511332273448277,0.2097497819357954,0.6265136112784927,0.018605050811335646,119,30,1.0,55,3.3454545454545452,1.490909090909091,25.633333333333333,419,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,nonparticipants_only,,,10,0,10,0,0,0,0.17909984442167173,0.13311641559820608,0.4310804986079077,0.008707907291996522,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.90000000000009,19.5,0.2352231604342579,,,0.0,0.0,51.0,0.6151990349819052,0.014265965387169,0.09803921568627451,0.0,0,5,8,49,39,,37,51,6.400000000000003,0.07720144752714109,6.000000000000003,0.07237635705669476,32,30,35
15,B,all_agents,,,40,21,10,9,21,0,0.23787506960583785,0.19351884261980468,0.641453066827353,0.01816079784369313,123,30,0.75,55,3.3454545454545452,1.490909090909091,31.4,455,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,participants_only,,,30,21,0,9,21,0,0.25724486844458144,0.21314093241131238,0.641453066827353,0.01989117406532639,123,30,1.0,55,3.3454545454545452,1.490909090909091,25.2,455,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,nonparticipants_only,,,10,0,10,0,0,0,0.17976567308960717,0.13300651014705353,0.4289250961148682,0.008467399894152633,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.9000000000001,19.5,0.22184300341296903,,,0.0,0.0,57.0,0.6484641638225248,0.014626733755130666,0.07017543859649122,0.0,0,4,13,32,39,,37,57,5.400000000000002,0.06143344709897606,6.000000000000003,0.06825938566552896,27,30,34
16,B,all_agents,,,40,23,10,7,23,0,0.24208830669442524,0.1973416666335734,0.6557949441542589,0.019180591269165694,129,30,0.75,55,3.3454545454545452,1.490909090909091,31.525,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,participants_only,,,30,23,0,7,23,0,0.2626425788753625,0.21271123457279478,0.6557949441542589,0.021138408072512705,129,30,1.0,55,3.3454545454545452,1.490909090909091,25.366666666666667,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,nonparticipants_only,,,10,0,10,0,0,0,0.18042549015161327,0.13476081461786216,0.4267804706342938,0.008237403600468022,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,step_totals,,,,,,,,,,,,,,,,,,,,,78.90000000000009,19.5,0.24714828897338376,,,0.0,0.0,47.0,0.5956907477820018,0.014877209421813259,0.1276595744680851,0.0,0,6,8,57,39,,37,47,6.400000000000003,0.08111533586818752,6.000000000000003,0.0760456273764258,32,30,40
17,B,all_agents,,,40,23,10,7,23,0,0.2465320574840667,0.19954265746891986,0.6695631463880886,0.020311648286292644,133,30,0.75,55,3.3454545454545452,1.490909090909091,31.325,526,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,participants_only,,,30,23,0,7,23,0,0.26834893677254296,0.21690331284130934,0.6695631463880886,0.02250833770527749,133,30,1.0,55,3.3454545454545452,1.490909090909091,25.1,526,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,nonparticipants_only,,,10,0,10,0,0,0,0.1810814196186379,0.13598402421672623,0.42464656828112235,0.008009865366682772,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
