step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.18568126009237906,0.15985007633850173,0.5170993172279702,0.010265417401377134,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000009,19.0,0.22619047619047597,,,0.0,0.0,53.0,0.6309523809523803,0.016178083365733145,0.09433962264150944,0.0,0,5,46,10,38,,35,53,6.000000000000003,0.07142857142857138,6.000000000000003,0.07142857142857138,30,30,29
13,B,all_agents,,,40,12,10,18,12,0,0.22501368319035275,0.1815427308887922,0.5879874558721918,0.013148941373074846,103,30,0.75,44,3.4545454545454546,1.5909090909090908,32.45,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,12,0,18,12,0,0.237910363020156,0.19835147743150883,0.5879874558721918,0.013548994683269087,103,30,1.0,44,3.4545454545454546,1.5909090909090908,26.6,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.18632364370094306,0.16008827327173258,0.5145138206418304,0.009952889234902684,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.90000000000008,19.5,0.21934758155230577,,,0.0,0.0,58.0,0.6524184476940377,0.015906577648255038,0.10344827586206896,0.0877192982456141,1,6,24,13,39,,34,58,5.400000000000002,0.06074240719910008,6.000000000000003,0.06749156355455566,27,30,34
14,B,all_agents,,,40,15,10,15,15,0,0.23011994882276862,0.18362640516289325,0.6044679576373041,0.01385263931315791,106,30,0.75,44,3.4545454545454546,1.5909090909090908,32.5,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,15,0,15,15,0,0.24450620152189323,0.20368541651716027,0.6044679576373041,0.014426397222528444,106,30,1.0,44,3.4545454545454546,1.5909090909090908,26.666666666666668,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,nonparticipants_only,,,10,0,10,0,0,0,0.18696119072539477,0.1607579204944574,0.5119412515386212,0.009647794384369463,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.3000000000001,18.5,0.2247873633049815,,,0.0,0.0,52.0,0.6318347509112994,0.01686313779290115,0.057692307692307696,0.0,0,3,46,11,37,,34,52,5.8000000000000025,0.07047387606318342,6.000000000000003,0.07290400972053458,29,30,28
15,B,all_agents,,,40,15,10,15,15,0,0.23482285318250928,0.18491858717072382,0.6202892393318119,0.0145905127217155,111,30,0.75,44,3.4545454545454546,1.5909090909090908,32.3,453,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,participants_only,,,30,15,0,15,15,0,0.25056628443357964,0.20498306149861956,0.6202892393318119,0.015344123065845977,111,30,1.0,44,3.4545454545454546,1.5909090909090908,26.4,453,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,nonparticipants_only,,,10,0,10,0,0,0,0.18759255942929823,0.16235078590188431,0.5093815452809282,0.009355414158637927,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000009,19.5,0.2198421645997743,,,0.0,0.0,58.0,0.6538895152198415,0.014488828806230012,0.08620689655172414,0.0,0,5,23,14,39,,33,58,5.200000000000002,0.0586245772266065,6.000000000000003,0.06764374295377674,26,30,34
16,B,all_agents,,,40,17,10,13,17,0,0.23975920786335045,0.18576270666936084,0.6354776697585395,0.015491441901257584,118,30,0.75,44,3.4545454545454546,1.5909090909090908,32.45,492,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,participants_only,,,30,17,0,13,17,0,0.2569393153229984,0.20491805319704923,0.6354776697585395,0.01645089880226001,118,30,1.0,44,3.4545454545454546,1.5909090909090908,26.6,492,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,nonparticipants_only,,,10,0,10,0,0,0,0.18821888548440657,0.16269137547382717,0.5068346375545235,0.009071198090349682,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.90000000000009,18.5,0.23153942428035018,,,0.0,0.0,50.0,0.6257822277847302,0.016908462690926496,0.14,0.0,0,7,49,13,37,,34,50,5.400000000000002,0.06758448060075088,6.000000000000003,0.07509386733416766,27,30,30
