step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.50000000000009,0.2,0.0023391812865497055,19.5,0.22807017543859626,0.0,0.0,54.0,0.6315789473684205,0.01603882434174829,0.2037037037037037,0.0833333333333334,1,11,11,31,2,39,37,54,5.8000000000000025,0.06783625730994149,6.000000000000003,0.07017543859649118,29,30,37
13,A,all_agents,,,40,18,10,12,18,0,0.2369393648550862,0.1871214836948772,0.7392467895422103,0.0190621646295797,114,30,0.75,34,2.7058823529411766,1.2352941176470589,31.65,452,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,18,0,12,18,0,0.2601525056727443,0.20804411845798318,0.7392467895422103,0.020223886024076782,114,30,1.0,34,2.7058823529411766,1.2352941176470589,25.533333333333335,452,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.16729994240211193,0.13744514798011293,0.47780947668624113,0.009110801566643366,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.50000000000009,,,19.5,0.21546961325966832,0.0,0.0,59.0,0.6519337016574579,0.014743260951648907,0.06779661016949153,0.0,0,4,10,21,,39,37,59,6.000000000000003,0.06629834254143643,6.000000000000003,0.06629834254143643,30,30,40
14,A,all_agents,,,40,17,10,13,17,0,0.24170447518916616,0.18767853017014163,0.7496769179605219,0.020033207585328616,121,30,0.75,34,2.7058823529411766,1.2352941176470589,31.575,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,17,0,13,17,0,0.2662574841394424,0.2070038978656933,0.7496769179605219,0.02135809307959577,121,30,1.0,34,2.7058823529411766,1.2352941176470589,25.433333333333334,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.16804544833833746,0.13749498842217928,0.4754204293028099,0.008824348120379006,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.8000000000001,,,19.0,0.22673031026252957,0.0,0.0,53.0,0.632458233890214,0.015576697136542982,0.1320754716981132,0.0,0,7,11,35,,38,36,53,5.8000000000000025,0.06921241050119327,6.000000000000003,0.071599045346062,29,30,38
15,A,all_agents,,,40,21,10,9,21,0,0.24600609542087504,0.18875561977026653,0.759689841242101,0.020977798225712396,128,30,0.75,34,2.7058823529411766,1.2352941176470589,31.325,522,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,21,0,9,21,0,0.2717467030149233,0.20929932176512472,0.759689841242101,0.022470144996181787,128,30,1.0,34,2.7058823529411766,1.2352941176470589,25.1,522,,,,,,,,,,,,,,,,,,,,,,,,,,,
