step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
20,B,all_agents,,,40,27,10,3,27,0,0.2559972082509384,0.20305239030260758,0.753764029166456,0.023269592421234123,130,30,0.75,49,4.081632653061225,1.530612244897959,31.125,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,participants_only,,,30,27,0,3,27,0,0.27786781549609957,0.227173062310575,0.753764029166456,0.02474955237641396,130,30,1.0,49,4.081632653061225,1.530612244897959,24.833333333333332,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,nonparticipants_only,,,10,0,10,0,0,0,0.19038538651545495,0.15434910914927974,0.6380746914129265,0.013089831020429474,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.1000000000001,19.5,0.24652338811630817,,,0.0,0.0,46.0,0.5815423514538552,0.014145754315254054,0.08695652173913043,0.0,0,4,2,59,39,,38,46,6.000000000000003,0.07585335018963332,7.600000000000004,0.09608091024020221,30,38,47
20,B,reachability,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,all_agents,,,40,28,10,2,28,0,0.26008996095616443,0.20554868981996915,0.7636134679997978,0.02426151043239082,137,30,0.75,49,4.081632653061225,1.530612244897959,30.9,635,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,participants_only,,,30,28,0,2,28,0,0.28312376536409417,0.22875602208374674,0.7636134679997978,0.02596218719797824,137,30,1.0,49,4.081632653061225,1.530612244897959,24.533333333333335,635,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,nonparticipants_only,,,10,0,10,0,0,0,0.1909885477323753,0.15780766348481282,0.6348843179558619,0.012792806389595417,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.9000000000001,19.5,0.22700814901047703,,,0.0,0.0,54.0,0.6286379511059363,0.013308507386259955,0.12962962962962962,0.0,0,7,8,36,39,,39,54,6.000000000000003,0.06984866123399296,6.400000000000003,0.07450523864959249,30,32,42
22,B,all_agents,,,40,29,10,1,29,0,0.26376274189145954,0.2067474554112705,0.7730689292798059,0.025332436031262603,143,30,0.75,49,4.081632653061225,1.530612244897959,31.05,671,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,participants_only,,,30,29,0,1,29,0,0.2878213711449927,0.22761224197332802,0.7730689292798059,0.027293371334740132,143,30,1.0,49,4.081632653061225,1.530612244897959,24.733333333333334,671,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,nonparticipants_only,,,10,0,10,0,0,0,0.19158685413086027,0.15907500060838348,0.6317098963660825,0.012503818422122517,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,step_totals,,,,,,,,,,,,,,,,,,,,,78.0000000000001,19.0,0.24358974358974328,,,0.0,0.0,46.0,0.589743589743589,0.013518767219580301,0.13043478260869565,0.0,0,6,5,59,38,,37,46,6.000000000000003,0.07692307692307686,7.0000000000000036,0.08974358974358967,30,35,45
23,B,all_agents,,,40,29,10,1,29,0,0.2675825014282102,0.21008030687388912,0.7821461721086136,0.026404218583606448,151,30,0.75,49,4.081632653061225,1.530612244897959,30.85,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,participants_only,,,30,29,0,1,29,0,0.29271634175914596,0.2266994029945743,0.7821461721086136,0.028605303419498792,151,30,1.0,49,4.081632653061225,1.530612244897959,24.466666666666665,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,nonparticipants_only,,,10,0,10,0,0,0,0.192180980435403,0.1590411847109994,0.6285513468842522,0.012220444918557746,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.3000000000001,19.5,0.22860492379835848,,,0.0,0.0,54.0,0.6330597889800696,0.012666394360175838,0.14814814814814814,0.0,0,8,11,36,39,,38,54,6.000000000000003,0.0703399765533411,5.8000000000000025,0.06799531066822972,30,29,42
24,B,all_agents,,,40,29,10,1,29,0,0.27116636060755633,0.2116200897027441,0.7908603252242691,0.027466069164144857,156,30,0.75,49,4.081632653061225,1.530612244897959,31.0,743,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,participants_only,,,30,29,0,1,29,0,0.2972985102911187,0.22620194702223612,0.7908603252242691,0.029907747364272586,156,30,1.0,49,4.081632653061225,1.530612244897959,24.666666666666668,743,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,nonparticipants_only,,,10,0,10,0,0,0,0.19276991155686934,0.1604501001075722,0.625408590149831,0.011946363598752384,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
