step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
20,A,all_agents,,,40,26,10,4,26,0,0.25794741372052715,0.19957825369705962,0.7676905721971046,0.021213929303704398,135,30,0.75,45,2.7555555555555555,1.3555555555555556,31.35,634,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,26,0,4,26,0,0.2867590433571049,0.2362749328410101,0.7676905721971046,0.02313873104207321,135,30,1.0,45,2.7555555555555555,1.3555555555555556,25.133333333333333,634,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.17151252481079393,0.15961033447843942,0.42823133073474423,0.005478204060814069,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.7000000000001,,,18.5,0.22924411400247802,50.0,0.6195786864931838,0.0,0.0,0.014069528413122362,0.02,0.0,0,1,10,47,,37,50,33,6.200000000000003,0.07682775712515483,6.000000000000003,0.07434944237918209,31,30,36
20,A,reachability,0.225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,27,10,3,27,0,0.2618048689743688,0.20273893103631127,0.7769829493092204,0.022224940663093874,140,30,0.75,45,2.7555555555555555,1.3555555555555556,31.25,666,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,27,0,3,27,0,0.29166764617120694,0.23509355817680505,0.7769829493092204,0.0243018062530237,140,30,1.0,45,2.7555555555555555,1.3555555555555556,25.0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.17221653738385417,0.1602514755359984,0.4260901740810705,0.0052929183504084,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.40000000000009,,,20.0,0.23696682464454952,52.0,0.6161137440758288,0.0,0.0,0.01291992034782761,0.09615384615384616,0.0,0,5,8,37,,40,52,39,6.400000000000003,0.07582938388625587,6.000000000000003,0.07109004739336489,32,30,47
22,A,all_agents,,,40,27,10,3,27,0,0.26589293245364437,0.20463345026880259,0.7859036313368516,0.02349234826251171,145,30,0.75,45,2.7555555555555555,1.3555555555555556,31.275,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,27,0,3,27,0,0.29688535473168237,0.2340644641001971,0.7859036313368516,0.025776815975967673,145,30,1.0,45,2.7555555555555555,1.3555555555555556,25.033333333333335,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.17291566561953045,0.16199280198093804,0.42395972321066516,0.005112582258221124,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.00000000000009,,,18.0,0.22499999999999976,50.0,0.6249999999999993,0.0,0.0,0.014375055882536101,0.1,0.0,0,5,10,47,,36,50,33,6.000000000000003,0.07499999999999996,6.000000000000003,0.07499999999999996,30,30,35
23,A,all_agents,,,40,29,10,1,29,0,0.269727212018939,0.20968298401731844,0.7944674860833776,0.02451974947053331,149,30,0.75,45,2.7555555555555555,1.3555555555555556,31.175,740,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,participants_only,,,30,29,0,1,29,0,0.3017665455797126,0.24015182060158008,0.7944674860833776,0.02694031832827422,149,30,1.0,45,2.7555555555555555,1.3555555555555556,24.9,740,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,nonparticipants_only,,,10,0,10,0,0,0,0.1736092113366183,0.16254019017733407,0.42183992459461184,0.004939816157088442,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.30000000000011,,,19.5,0.23409363745498168,52.0,0.6242496998799512,0.0,0.0,0.01304888914185615,0.07692307692307693,0.0,0,4,11,36,,39,52,37,5.8000000000000025,0.06962785114045612,6.000000000000003,0.07202881152460978,29,30,46
24,A,all_agents,,,40,30,10,0,30,0,0.27323640801011206,0.21403376336821395,0.8026887866400425,0.025809801744086244,153,30,0.75,45,2.7555555555555555,1.3555555555555556,31.225,777,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,participants_only,,,30,30,0,0,30,0,0.3062156538057382,0.2407481158248468,0.8026887866400425,0.02847287432029071,153,30,1.0,45,2.7555555555555555,1.3555555555555556,24.966666666666665,777,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,nonparticipants_only,,,10,0,10,0,0,0,0.17429867062323373,0.16369233516056092,0.41973072497163877,0.004769016176492979,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.0000000000001,,,17.0,0.21518987341772125,50.0,0.6329113924050624,0.0,0.0,0.012847248501227973,0.08,0.0,0,4,10,46,,34,50,33,6.000000000000003,0.07594936708860753,6.000000000000003,0.07594936708860753,30,30,35
25,A,all_agents,,,40,30,10,0,29,1,0.27676676256226374,0.2166282126589382,0.8105812351744408,0.02686822751190008,160,30,0.75,45,2.7555555555555555,1.3555555555555556,31.175,810,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,participants_only,,,30,30,0,0,29,1,0.31069486731599477,0.23965909198802438,0.8105812351744408,0.029684404380831166,160,30,1.0,45,2.7555555555555555,1.3555555555555556,24.9,810,,,,,,,,,,,,,,,,,,,,,,,,,,,
