step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
19,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.60000000000008,,,19.0,0.2219626168224297,0.0,0.0,55.0,0.6425233644859807,0.013089968004315236,0.07272727272727272,0.0,0,4,11,28,,38,37,55,5.8000000000000025,0.06775700934579436,5.8000000000000025,0.06775700934579436,29,29,44
20,D,all_agents,,,40,28,10,2,28,0,0.2649659968994467,0.19583389890324138,0.8040576575928877,0.025792268476279415,108,29,0.725,0,0.0,0.0,31.275,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,participants_only,,,30,28,0,2,28,0,0.2958238140791486,0.21625450345498082,0.8040576575928877,0.02814695184176799,108,29,0.9666666666666667,0,0.0,0.0,25.033333333333335,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,nonparticipants_only,,,10,0,10,0,0,0,0.17239254536034102,0.14658084803649551,0.4613349149818007,0.007301759806662818,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,step_totals,,,,,,,,,,,,,,,,,,,,,78.7000000000001,,,17.5,0.22236340533672144,0.0,0.0,50.0,0.6353240152477755,0.01534899124847571,0.14,0.0,0,7,12,38,,35,32,50,5.600000000000002,0.07115628970775088,5.600000000000002,0.07115628970775088,28,28,37
20,D,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,all_agents,,,40,29,10,1,29,0,0.2690713764489486,0.19653965256220046,0.8118953512891722,0.02692752441291204,115,29,0.725,0,0.0,0.0,31.15,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,participants_only,,,30,29,0,1,29,0,0.3010628449610932,0.2187860741737127,0.8118953512891722,0.029450374142218166,115,29,0.9666666666666667,0,0.0,0.0,24.866666666666667,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,nonparticipants_only,,,10,0,10,0,0,0,0.17309697091251466,0.14687138915994807,0.45902824040689166,0.0070775265342311764,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.20000000000009,,,19.0,0.22300469483568053,0.0,0.0,55.0,0.6455399061032857,0.013480611322522068,0.12727272727272726,0.0,0,7,13,28,,38,37,55,5.400000000000002,0.0633802816901408,5.8000000000000025,0.06807511737089197,27,29,44
