step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
12,D,participants_only,,,30,15,0,15,15,0,0.2386164218788805,0.18677055023527764,0.6197988303292813,0.01793852817391869,46,23,0.7666666666666667,0,0.0,0.0,26.433333333333334,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.19160212632579046,0.15316382615253454,0.5936286775644702,0.012552026118057918,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,78.70000000000009,19.0,0.24142312579415476,0.1,0.0012706480304955515,48.0,0.6099110546378647,0.0,0.0,0.0161111747014405,0.08333333333333333,0.0,0,4,7,49,38,1,48,38,7.400000000000004,0.09402795425667085,4.200000000000001,0.053367217280813166,37,21,39
13,D,all_agents,,,40,16,10,14,16,0,0.23194148018167257,0.18614951858673862,0.63500687711611,0.01755393986606925,55,25,0.625,0,0.0,0.0,32.0,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,16,0,14,16,0,0.24518425105408717,0.1919064092354838,0.63500687711611,0.018635453030807454,55,25,0.8333333333333334,0,0.0,0.0,26.0,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.19221316756442874,0.1554600666611229,0.5906605341766479,0.012204948607303366,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.6000000000001,19.0,0.21444695259593657,,,59.0,0.6659142212189609,0.0,0.0,0.015525744991109496,0.15254237288135594,0.0,0,9,13,22,38,,59,37,6.200000000000003,0.0699774266365688,4.400000000000001,0.04966139954853269,31,22,35
14,D,all_agents,,,40,16,10,14,16,0,0.2362969689041197,0.1888526631064622,0.6496066020314656,0.018325618205792996,65,28,0.7,0,0.0,0.0,32.2,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,participants_only,,,30,16,0,14,16,0,0.2507900923239663,0.1962795203893396,0.6496066020314656,0.019636225803201728,65,28,0.9333333333333333,0,0.0,0.0,26.266666666666666,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,nonparticipants_only,,,10,0,10,0,0,0,0.19281759864457973,0.15511941932627626,0.5877072315057646,0.011873187896011909,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,step_totals,,,,,,,,,,,,,,,,,,,,,79.1000000000001,18.5,0.23388116308470264,,,49.0,0.6194690265486719,0.0,0.0,0.015315188595570732,0.20408163265306123,0.0,0,10,8,47,37,,49,35,6.800000000000003,0.08596713021491777,4.800000000000002,0.06068268015170665,34,24,37
15,D,all_agents,,,40,20,10,10,20,0,0.2410612795980579,0.19158870512886123,0.663622337950207,0.01915183631211121,67,28,0.7,0,0.0,0.0,31.975,485,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,participants_only,,,30,20,0,10,20,0,0.25694261094814397,0.20156092005729426,0.663622337950207,0.02067706657106472,67,28,0.9333333333333333,0,0.0,0.0,25.966666666666665,485,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,nonparticipants_only,,,10,0,10,0,0,0,0.19341728554779974,0.15849558164243124,0.5847686953482358,0.011549545309835969,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.3000000000001,18.5,0.20951302378255923,,,58.0,0.6568516421291046,0.0,0.0,0.014742044214580186,0.034482758620689655,0.0,0,2,10,20,37,,58,36,6.200000000000003,0.0702151755379388,5.600000000000002,0.06342015855039633,31,28,36
