step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
15,D,nonparticipants_only,,,10,0,10,0,0,0,0.16605098554557235,0.1296544277323285,0.5798797257065017,0.009256606007594186,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.0000000000001,,,20.0,0.22471910112359525,58.0,0.6516853932584262,0.0,0.0,0.01435770316906131,0.15517241379310345,0.0,0,9,30,14,,40,58,39,5.000000000000002,0.05617977528089883,6.000000000000003,0.06741573033707861,25,30,34
16,D,all_agents,,,40,22,10,8,22,0,0.24069439232260356,0.18216063088251772,0.6803937430448084,0.020303068850521907,85,27,0.675,0,0.0,0.0,32.275,484,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,participants_only,,,30,22,0,8,22,0,0.2653273076993379,0.20701471078220882,0.6803937430448084,0.021643392613711305,85,27,0.9,0,0.0,0.0,26.366666666666667,484,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,nonparticipants_only,,,10,0,10,0,0,0,0.16679564619240048,0.12900615559366685,0.5769803270779692,0.00900073132146544,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,step_totals,,,,,,,,,,,,,,,,,,,,,77.8000000000001,,,19.0,0.2442159383033416,47.0,0.604113110539845,0.0,0.0,0.0145286273206766,0.10638297872340426,0.0,0,5,57,8,,38,47,36,5.400000000000002,0.06940874035989711,6.400000000000003,0.0822622107969151,27,32,36
17,D,all_agents,,,40,22,10,8,22,0,0.24520329826885726,0.18551436469448498,0.693177993323016,0.02124668655293817,94,29,0.725,0,0.0,0.0,32.0,518,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,participants_only,,,30,22,0,8,22,0,0.27109283259273154,0.2079118650305326,0.693177993323016,0.022730374026167035,94,29,0.9666666666666667,0,0.0,0.0,26.0,518,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,nonparticipants_only,,,10,0,10,0,0,0,0.16753469529723442,0.1284702042550247,0.5740954254425793,0.008752408283166806,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.40000000000009,,,20.0,0.2262443438914025,57.0,0.6447963800904971,0.0,0.0,0.013944543812300765,0.15789473684210525,0.0,0,9,31,12,,40,57,39,5.400000000000002,0.061085972850678696,6.000000000000003,0.06787330316742078,27,30,35
