step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
20,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.1000000000001,,,51.0,0.6367041198501865,17.5,0.21847690387016205,0.0,0.0,0.014474258390755522,0.17647058823529413,0.0,0,9,12,40,,51,35,32,6.000000000000003,0.07490636704119845,5.600000000000002,0.06991260923845188,30,28,32
20,B,reachability,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,all_agents,,,40,30,10,0,29,1,0.26457849901075636,0.19809492605221352,0.7220445516427197,0.0255677660192263,151,30,0.75,55,3.709090909090909,1.4363636363636363,31.45,694,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,participants_only,,,30,30,0,0,29,1,0.29269426527249015,0.2112737374222451,0.7220445516427197,0.029015585811453557,151,30,1.0,55,3.709090909090909,1.4363636363636363,25.266666666666666,694,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,nonparticipants_only,,,10,0,10,0,0,0,0.18023120022555494,0.15616139486078123,0.4664648993710322,0.005738350892731136,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.40000000000009,,,56.0,0.6481481481481475,19.0,0.21990740740740716,0.0,0.0,0.013388400811870507,0.08928571428571429,0.0,0,5,13,24,,56,38,37,6.000000000000003,0.0694444444444444,5.400000000000002,0.06249999999999996,30,27,45
22,B,all_agents,,,40,30,10,0,29,1,0.2690128007783049,0.19744956459753205,0.7184343288845061,0.026829958359047387,159,30,0.75,56,4.017857142857143,1.4464285714285714,31.575,739,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,participants_only,,,30,30,0,0,29,1,0.29838927568980605,0.2161438263609478,0.7184343288845061,0.030469478794778408,159,30,1.0,56,4.017857142857143,1.4464285714285714,25.433333333333334,739,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,nonparticipants_only,,,10,0,10,0,0,0,0.1808833760438015,0.15726304332147292,0.46413257487417703,0.005555669713141655,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.10000000000008,,,51.0,0.6367041198501866,17.5,0.21847690387016208,0.0,0.0,0.015402133496752948,0.13725490196078433,0.08620689655172421,1,7,12,40,,51,35,32,6.000000000000003,0.07490636704119846,5.600000000000002,0.0699126092384519,30,28,31
23,B,all_agents,,,40,30,10,0,29,1,0.2731872622488547,0.19722852067653324,0.7296969557291259,0.02798361215644768,168,30,0.75,56,4.017857142857143,1.4464285714285714,31.4,779,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,participants_only,,,30,30,0,0,29,1,0.30373950507168207,0.21708432193259639,0.7296969557291259,0.03178458031038443,168,30,1.0,56,4.017857142857143,1.4464285714285714,25.2,779,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,nonparticipants_only,,,10,0,10,0,0,0,0.18153053378037262,0.15975824464319735,0.46181191199980615,0.005379433196577359,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.20000000000009,,,56.0,0.6496519721577719,19.0,0.22041763341067264,0.0,0.0,0.01352427151708152,0.16071428571428573,0.0,0,9,14,23,,56,38,37,6.000000000000003,0.0696055684454756,5.200000000000002,0.06032482598607885,30,26,45
24,B,all_agents,,,40,30,10,0,29,1,0.2767342060839347,0.19945497211594337,0.7346539413812476,0.029053425883044035,172,30,0.75,56,4.017857142857143,1.4464285714285714,31.525,814,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,participants_only,,,30,30,0,0,29,1,0.3082545400029035,0.2217727330913178,0.7346539413812476,0.033027851268979634,172,30,1.0,56,4.017857142857143,1.4464285714285714,25.366666666666667,814,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,nonparticipants_only,,,10,0,10,0,0,0,0.18217320432702808,0.16113553600549718,0.4595028524398071,0.005207772320877652,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.90000000000009,,,51.0,0.6382978723404248,17.5,0.21902377972465556,0.0,0.0,0.012806497970261118,0.0784313725490196,0.0,0,4,13,39,,51,35,31,6.000000000000003,0.07509386733416766,5.400000000000002,0.06758448060075088,30,27,30
