step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.9000000000001,20.0,0.23014959723820455,0.1,0.0011507479861910229,0.0,0.0,54.0,0.6214039125431523,0.01565562256284187,0.09259259259259259,0.15503875968992262,2,5,4,43,40,1,37,54,7.200000000000004,0.08285385500575368,5.600000000000002,0.0644418872266973,36,28,36
13,A,all_agents,,,40,20,10,10,20,0,0.22951936183879132,0.19040121101838187,0.6732454057749423,0.017721746732196487,110,30,0.75,59,3.6610169491525424,1.7627118644067796,31.9,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,20,0,10,20,0,0.2440191841777166,0.20011159059343686,0.6732454057749423,0.01764726951227297,110,30,1.0,59,3.6610169491525424,1.7627118644067796,25.866666666666667,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.1860198948220155,0.14999518005219198,0.6608607423584498,0.015422240217642278,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.60000000000011,20.0,0.22075055187637943,,,0.0,0.0,58.0,0.6401766004415004,0.014066465338609462,0.017241379310344827,0.0,0,1,7,34,40,,37,58,6.600000000000003,0.07284768211920524,6.000000000000003,0.06622516556291386,33,30,36
14,A,all_agents,,,40,20,10,10,20,0,0.23424691101437226,0.19699594588899522,0.6863155895439446,0.01846821592559392,116,30,0.75,59,3.6610169491525424,1.7627118644067796,31.675,439,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,20,0,10,20,0,0.25010928827499207,0.20863253419822309,0.6863155895439446,0.018598313042351065,116,30,1.0,59,3.6610169491525424,1.7627118644067796,25.566666666666666,439,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.18665977923251298,0.1511834093605593,0.6575564386466576,0.015058544427023755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.8000000000001,20.0,0.23310023310023284,,,0.0,0.0,53.0,0.617715617715617,0.015041650403455738,0.11320754716981132,0.0,0,6,5,46,40,,36,53,7.0000000000000036,0.08158508158508153,5.8000000000000025,0.06759906759906756,35,29,36
15,A,all_agents,,,40,20,10,10,20,0,0.23848953891061744,0.19645581110153665,0.6988629659621868,0.01928032597647298,119,30,0.75,59,3.6610169491525424,1.7627118644067796,31.35,469,,,,,,,,,,,,,,,,,,,,,,,,,,,
