seed,condition,topology,peer_learning_enabled,random_seed,agent_initial_states_sha256,participant_ids_sha256,base_graph_sha256,cultural_edge_count,network_density,assortativity_target,assortativity_swap_budget,assortativity_achieved_structured,assortativity_achieved_rewired,assortativity_target_reached,steps,final_state_sha256
10,D,rewired,False,10,5cc840ff8abf0dca11998e167e33ad7814dca0786cbf165058841aea0a0decb4,c16a90bedb8b4da3c90064962bb89898a081ea79ecb85e4587563865f5113615,56d427947813076239c6de334aa8e206c6f8669d36726664f1d13694ccd4bd41,66,0.15384615384615385,0.3,600,0.30416665248819835,-0.0705417614703731,True,156,71af4cff8b4a7c2bb9b1f79627597a1c789fdc0f8a4da62747601c5a0ba1adc6
11,A,structured,True,11,3e3cfbdb80d7a9b4fbd0c7eb0a356566e0dd5d59c103868d436f33cae84281a9,51ecc7f012a3fe94a76d7bc174fb80407476a78e21b38ce958d9e3009fe3321e,df8bbc58e72f8e7415761b74c73f39e171ecc948830840acd26e0de6e573dd76,68,0.15384615384615385,0.3,600,0.3085253885014675,0.018725385639183897,True,156,c768e52f92c72a96185f32bfab95bdf7f46c19f6b70bfc5611cb747a0409a97e
11,B,rewired,True,11,3e3cfbdb80d7a9b4fbd0c7eb0a356566e0dd5d59c103868d436f33cae84281a9,51ecc7f012a3fe94a76d7bc174fb80407476a78e21b38ce958d9e3009fe3321e,9946c2d6fadaff2987b43bff3c72a73e8e2a9d037fb9d5ae1d006164fe24c92d,69,0.15384615384615385,0.3,600,0.3085253885014675,0.018725385639183897,True,156,4f8fe9821f40ae9323d1a58332f90c48a648df80a65494c9d37c1ed247c5cb83
11,C,structured,False,11,3e3cfbdb80d7a9b4fbd0c7eb0a356566e0dd5d59c103868d436f33cae84281a9,51ecc7f012a3fe94a76d7bc174fb80407476a78e21b38ce958d9e3009fe3321e,df8bbc58e72f8e7415761b74c73f39e171ecc948830840acd26e0de6e573dd76,68,0.15384615384615385,0.3,600,0.3085253885014675,0.018725385639183897,True,156,bf1c24bc46717aaf1abb0ef43f79b2d308e1b47ba84657f052c965d39b9c61b1
11,D,rewired,False,11,3e3cfbdb80d7a9b4fbd0c7eb0a356566e0dd5d59c103868d436f33cae84281a9,51ecc7f012a3fe94a76d7bc174fb80407476a78e21b38ce958d9e3009fe3321e,9946c2d6fadaff2987b43bff3c72a73e8e2a9d037fb9d5ae1d006164fe24c92d,69,0.15384615384615385,0.3,600,0.3085253885014675,0.018725385639183897,True,156,aad00a2f066d31065febd0a638ce429a4097fb39299b1b67d30eb68ecac5773c
12,A,structured,True,12,3e48597385f22c079634c6d396c04e89a9936b09125ad0e94aff96ce5caeec32,d2c6630b16f7abae363a5aa3ce94f5c3bcffacb8422beb71158f78c4de449dff,1081c8f71ee27c84e2ac711e8bd95757709bc2858aea17f9b6efa2441249cff9,65,0.15384615384615385,0.3,600,0.3197670174311685,-0.00011403914175738632,True,156,d57005922ff6e1eab221eff2c690d6b66975ada40d7e9970fd72f03258389bc2
12,B,rewired,True,12,3e48597385f22c079634c6d396c04e89a9936b09125ad0e94aff96ce5caeec32,d2c6630b16f7abae363a5aa3ce94f5c3bcffacb8422beb71158f78c4de449dff,74f204a133c743925c2e79aac06ab3b69d977520c07dc864569b87f64181495d,67,0.15384615384615385,0.3,600,0.3197670174311685,-0.00011403914175738632,True,156,409d71d5bbc334d155b1b2281d2b51248c5a74d25da03c0873dc0400d6a3a76a
12,C,structured,False,12,3e48597385f22c079634c6d396c04e89a9936b09125ad0e94aff96ce5caeec32,d2c6630b16f7abae363a5aa3ce94f5c3bcffacb8422beb71158f78c4de449dff,1081c8f71ee27c84e2ac711e8bd95757709bc2858aea17f9b6efa2441249cff9,65,0.15384615384615385,0.3,600,0.3197670174311685,-0.00011403914175738632,True,156,622034d34a9d7b7afa3f654755e9b4a302d035961f4b2f6ccfe3ad77c9423362
12,D,rewired,False,12,3e48597385f22c079634c6d396c04e89a9936b09125ad0e94aff96ce5caeec32,d2c6630b16f7abae363a5aa3ce94f5c3bcffacb8422beb71158f78c4de449dff,74f204a133c743925c2e79aac06ab3b69d977520c07dc864569b87f64181495d,67,0.15384615384615385,0.3,600,0.3197670174311685,-0.00011403914175738632,True,156,cbd48a467f42be3ea6fd3eff82064d870c3e97064ab943fa9e12d1211312f483
13,A,structured,True,13,469737c961d21e3e551688ce3f92f9c559bba0e204c5d3023f8494ba71c5db83,3fd1c1ac4de03aa80a78588dade92c85322c30f57ccd9def6ce6f3f8aa5a4d85,73543dd56c91a34575224a78d27ae3c5b008aa5147d236e148d1d63922de1878,67,0.15384615384615385,0.3,600,0.303495895113297,-0.09157944998900718,True,156,9f4f85658d592785c4dd08bd451144c464069f9cbe555db86673b34e616ef928
13,B,rewired,True,13,469737c961d21e3e551688ce3f92f9c559bba0e204c5d3023f8494ba71c5db83,3fd1c1ac4de03aa80a78588dade92c85322c30f57ccd9def6ce6f3f8aa5a4d85,d5abb8081bbfe2ee56c63022c9894714198c47b1873f4b57338dcc6c4229979c,70,0.15384615384615385,0.3,600,0.303495895113297,-0.09157944998900718,True,156,15d7a56d5671270dc04e0fa4ed72736fa9b7acc4f53900b9112a806a370dd9f5
13,C,structured,False,13,469737c961d21e3e551688ce3f92f9c559bba0e204c5d3023f8494ba71c5db83,3fd1c1ac4de03aa80a78588dade92c85322c30f57ccd9def6ce6f3f8aa5a4d85,73543dd56c91a34575224a78d27ae3c5b008aa5147d236e148d1d63922de1878,67,0.15384615384615385,0.3,600,0.303495895113297,-0.09157944998900718,True,156,dafc482cd0ed92cf75a896a3658c6d8ebf1e227b1de3e208b7b0715802342287
13,D,rewired,False,13,469737c961d21e3e551688ce3f92f9c559bba0e204c5d3023f8494ba71c5db83,3fd1c1ac4de03aa80a78588dade92c85322c30f57ccd9def6ce6f3f8aa5a4d85,d5abb8081bbfe2ee56c63022c9894714198c47b1873f4b57338dcc6c4229979c,70,0.15384615384615385,0.3,600,0.303495895113297,-0.09157944998900718,True,156,7b70e357c74a487692d41bf6ad5888219e47ba13493f74e8f527518322bb68dd
14,A,structured,True,14,56a63bdebf9439d71cc8150c84d1211caf554ad67679949a10b9745ec33131b1,3d97f17dd47d1c2cda2da49a135a0ea7f0d66a2c436149565e836aed9e3cc678,e723ada089b4ba0cb202dc3ee558cde7cf183a1805183b4593bbc06e5a83cf2e,64,0.15384615384615385,0.3,600,0.3201380364901169,-0.08846422695806527,True,156,636648d4204a4e67d75bab2d4218ffd57d1869c599dbcafca836117378599602
14,B,rewired,True,14,56a63bdebf9439d71cc8150c84d1211caf554ad67679949a10b9745ec33131b1,3d97f17dd47d1c2cda2da49a135a0ea7f0d66a2c436149565e836aed9e3cc678,9de115dc0339fa5bb17206314c8c2a49e474078500afe9df08c2badfb83a0bef,70,0.15384615384615385,0.3,600,0.3201380364901169,-0.08846422695806527,True,156,7576e91595dd385f8b332a337a686cf0900f62dc83a044bbf4622d84a919af34
14,C,structured,False,14,56a63bdebf9439d71cc8150c84d1211caf554ad67679949a10b9745ec33131b1,3d97f17dd47d1c2cda2da49a135a0ea7f0d66a2c436149565e836aed9e3cc678,e723ada089b4ba0cb202dc3ee558cde7cf183a1805183b4593bbc06e5a83cf2e,64,0.15384615384615385,0.3,600,0.3201380364901169,-0.08846422695806527,True,156,5cf2be6e41980b99ba25dd855eb91d3ffe1e362f4c22ee6e6b429f406afce002
14,D,rewired,False,14,56a63bdebf9439d71cc8150c84d1211caf554ad67679949a10b9745ec33131b1,3d97f17dd47d1c2cda2da49a135a0ea7f0d66a2c436149565e836aed9e3cc678,9de115dc0339fa5bb17206314c8c2a49e474078500afe9df08c2badfb83a0bef,70,0.15384615384615385,0.3,600,0.3201380364901169,-0.08846422695806527,True,156,34e5f5690aaf37b90298bb61ea57974e16953967a76a101325ab57542db9109e
15,A,structured,True,15,2844b621b2e1976753a2e18c86a32c807d4e18e9ec4f61a14f0831e671eb704a,7f25c6793bfc632c6b5e5c95fb66bd70786db7285ada6e0f6e3d88f495e5c5cc,ee54cd7a43f530e02291b854df0baf5d3dc353ce8fa21720447fa875401507a8,66,0.15384615384615385,0.3,600,0.3054656162084771,0.08337854892271246,True,156,f54e379fc866d0e9f3232f5dbba2195e71d121c79c3099997e0e3b91282e0bce
